Id,mrkdwn,da_true,ds_true,de_true,other_true
82,"Вечер в ваш дом, :ods:
*Компания*: Сбербанк :sberbank:
*Вакансия*: Senior Data Scientist/Team Lead
:moneyparrot:*Вилка*:widefork::  200к-400к + годовая премия х2-х11 (обычно х5-х9)

Мы ищем руководителей в быстрорастущее направление моделирования и персонализации цифровых сервисов банка: (кастомизация интерфейсов, продуктовые предложения, анализ текстов и много другого интересного).
:rocket:*Что делать*:
• Управлять кросс-функциональной командой с фокусом на разработку прогнозных моделей
• Разрабатывать стратегии и планировать с горизонтом в 1-2 года
• Мониторить основные тренды в ML, тестировать/интегрировать их в процессы Банка
• Управлять проектами от идеи до интеграции во фронтальные системы Банка
• Проводить церемоний Agile
• Работать с большими объемами данных
:weight_lifter::skin-tone-2:*Требования*:
• Не менее 2 лет опыта управления кросс-функциональной командойc
• Не менее 5 лет опыта работы в сфере с фокусом на аналитику и Data Science: Банки, Телеком, Консалтинг :pepe_old: 
• Не менее 5 реализованных проектов по повышению эффективности бизнес-процессов
• Знания математической статистики, алгоритмов Machine Learning, банковских процессов (опционально)
• Знание продуктов и умение программировать на Python/SQL/Teradata/Hive/SAS
• PMI сертификат (желательно)
:male-technologist:*Условия*:
• Технологии для воплощения идей:
       лучшие данные банка в Teradata/Hadoop
       Python на мощных серверах с GPU через :pycharm:/:jupyter:
        мсье могут в SAS и R
• Молодой сильный коллектив :tripletsparrot: (Физтех, МГУ, ВШЭ, Бауманка)
• Четкие постановки интересных задач :dart:
• Возможности саморазвития: оплата курсов популярных платформ, периодика, командировки на коференции
• Спортзал с занятиями (йога, кроссфит и пр.)
• ДМС, слегка свободный график :trollface_peeking:, сниженные ставки по кредитам, кикер, бильярд и др.
*Контакты*:
Добро пожаловать с пометкой “Senior/TeamLead в MassPers”
<mailto:Vaynberg.M.V@sberbank.ru|Vaynberg.M.V@sberbank.ru>
telegram: @mvwine",0,1,0,0
83,"Hey hey!
*Product Analyst*
*Location: Oslo, Norway*
*Salary: 67k (I just gave an estimate here)*
*Company: <http://kolonial.no|kolonial.no>*
*Application link is <https://jobs.lever.co/kolonial.no/e7f3a1ab-a988-4aa3-88fa-a3674adafa63|here>*

<http://Kolonial.no|Kolonial.no> is the leading online grocery retailer in Norway, but as a company we are first and foremost an ambitious tech and logistics company. We’re one of the fastest-growing startups in the Nordics, working with huge, complex challenges to make the lives of our customers simpler and easier. Few (if any) in the world have truly cracked the code for online grocery logistics — but we’re getting close and with high speed. Want to join us?

*Responsibilities*
• Make sure we properly define success for improvements in our products and processes, establish baselines and measure effect.
• Design tests and experiments (like A/B tests), secure correct implementation, analyse effects and share the insights we gain.
• Recommend improvement and innovation initiatives based on insights, and lead execution through task forces in a cross functional team when needed.
• Make sure that we have the right analytical tools and skills, and train and support others in tools and methods for analytical problem solving.
• Build dashboards and other insight products that enable teams to follow their own performance.
• Work with developers, data scientists and our commercial team to ensure that we capture valuable data in a timely, accurate, complete and consistent way, and in accordance with our privacy policies.
• Perform complex analysis, communicate insights tailored to different audiences and contribute to our strategy based on the findings.
*We look for people who*
• Like experimentation and testing, and is good at communicating analytical findings.
• Combine a strong analytical mindset with empathy for customers and colleagues, and have a good understanding of products, processes and the business.
• Are able to identify and when needed lead improvements based on insights.
• Solve problems structured and analytically while still being pragmatic, inclusive and goal oriented.
• Are motivated by improvements in our performance indicators, especially related to growth and logistics.
• Have hands on experience developing digital solutions.
• Continuously develop skills through feedback and learning, and like to share what they learn with colleagues.
• Can work independently, manage their own time well and take ownership of tasks from start to finish, while thriving in teams where they get the best out of their colleagues.
*Qualifications*
• 3+ years of experience as an analyst, developer of analytical solutions, conversion rate optimisation or similar, preferably in a product and technology team.
• Higher education with focus on quantitative methods, preferably in statistics, technology, optimisation or business.
• Proven record of improving products and processes through analysis and experimentation.
• Able to analyse, model and interpret data.
• Have hands on experience with databases, building data warehouses and with modern BI tools like Looker.
• Comfortable with statistics and SQL, and have at least some experience with programming (e.g. Python), A/B-testing and optimisation, and want to improve these skills.
• Fluent in English. Ability to speak and understand Norwegian is a plus.
*We offer*
• Great opportunities for personal development in a fast growing company
• A workplace in constant change and new challenges.
• Enthusiastic colleagues who care about helping others.
• An onboarding program where all new employees work hands-on in delivery, picking, replenishment and customer service in addition to our Data &amp; Insight specific onboarding.
• You will get to know our way of working with <https://medium.com/kolonial-no-product-tech/solving-alignment-on-strategy-and-execution-in-a-scaleup-1493f7c11e6b|OKRs>, a vision we share with Google, Twitter og Uber.
• A transparent workplace where we use Quip and Slack to share what we are working on and where we have open discussions. Less e-mails and meetings.",1,0,0,0
84,"Добрый день!

_Company:_ <https://runasystems.com/|Runa Systems> (a part of global <https://admiralmarkets.com/|Admiral Markets>)
_Job Title:_ Junior Data Analyst
_Fork:_ 700-1500$ depending on technical level
_Location:_ Minsk

*What you will be doing:*
·       Work closely with different units in marketing department
·       Make sure that each marketing team is successfully measuring the results of their ongoing advertising campaigns and that tracking is accurate.
·       Build automated reports in BI system for management and marketing needs.

*What we expect from you:*
·       Previous experience with SQL and some BI tool(Tableau/PowerBI/Data Studio etc) must have.
·       Excellent communication skills, both in verbal and written form
·       English
·       Self-motivated
·       Analytical thinking
·       Experience in data analysis and reporting
·       Knowledge of digital marketing concepts
·       Experience with web/app analysis and tracking tools: Google Analytics, Google Tag Manager, Firebase

*What we offer:*
·       An awesome highly motivated, growing, diverse multinational team
·       Possibility to work with complex and interesting company products
·       Extended work leave - 29 days and 5 sick days per year
·       100% sick pay
·       Medical insurance
·       English courses (currently online)
·       Possibility to regular attend conferences and external trainings and learn even more new and useful for professional development

*To Apply:* 
_please contact our HR Irina Peda and send your CV_
_<mailto:irina.peda@admiralmarkets.com|irina.peda@admiralmarkets.com>_
_<tel:+375295254906|+375295254906> (phone, viber, telegram)_",1,0,0,0
85,"Всем привет!

Ищу себе в команду Mid+/Senior Data Scientist

Компания: DeckRobot (ML-startup from San Francisco)
Вакансия: Mid+/Senior Data Scientist
Вилка: 180 - 280k ₽
Локация: Удаленно

Занимаемся автоматизацией создания презентаций в Power Point.
Превращаем текстовые наброски в готовые слайды с красивым оформлением.
Датасеты имеются.

Недавно получили инвестиции в размере 1.5m $.

Тут можно посмотреть чем мы занимаемся в картинках: <https://deckrobot.com>

Про нас пишут: 
• Forbes: <https://www.forbes.com/sites/frederickdaso/2020/10/01/deckrobot-raises-15-million-to-generate-powerpoint-slides-using-ai/#6744f70a1172>
• Inc: <https://incrussia.ru/news/deck-robot/?fbclid=IwAR3MDqKVMVcj8TGIeoNvAjiyW6fw000CRbd6S4NATPGPWgSOB_DpC4Ua21I>
Задачи: 
• Определять для каждого элемента слайда чем он является: Заголовок, диаграмма, график, текст...
• Группировка и выравнивание объектов на слайде
• Создание и автоматическое применение дизайна к слайдам
Необходимые навыки:
• Профильное образование: Компьютерные науки, Математика или эквивалентное
• Знание основных алгоритмов и структур данных.
• TensorFlow и/или PyTorch (CNN, NLP, …)
• Понимание ML (классификация, кластеризация, регрессия...)
• Знание Docker
• Опыт решения сложных задач по машинному обучению

Кому интересно пишите мне на почту: <mailto:dan@deckrobot.com|dan@deckrobot.com>
В теме сообщения указывайте пожалуйста: “ODS <#C04DA5FUF|_jobs>”",0,1,0,0
86,"Всем привет!

Ищу себе в команду Adapty (<https://adapty.io>) аналитика с навыками программирования.
*Что делать?*
• Разрабатывать систему А/Б тестирования для экономики подписок (мат. модель + тех реализация)
• Построить модель прогнозирования LTV для пользователя на основании событий о покупках (мат. модель + тех реализация)
• Построить рекомендательную систему для in-app purchases на мобилах
*Что нужно знать и уметь?*
• Глубокое понимание методологии АБ тестирования: современные методы, способы ускорения тестов
• +- Хорошее понимание байесовских моделей и методов
• Прикладной матстат и теорвер
• Уметь генерировать много идей и быстро их тестировать (продакшн качество не важно в данном случае)
• Умение все это закодить и визуализировать
*Будем плюсом*
• Понимание клиент-серверной архитектуры и API
• Знания баз данных, ORM, веб-фреймворков на Python
*Вилка*
200-250к в месяц на руки

Если интересно, пишите в личку сюда или на <mailto:iwitaly@adapty.io|iwitaly@adapty.io>.

В общем, ищу человека, с которым вместе могу построить такую систему. Хочется адекватности, быстрого прототипирования и желания в конечном счете сделать качественно. Если прикладных навыков чутка не хватает, но хорошо понимаете теорию и есть желание разбираться — пишите. Вакансия не для джуниоров.

*О нас*
Мы делаем сервис для аналитики и АБ тестирования подписок. В этой модели пользователь один раз соглашается и дальше деньги списываются каждый месяц, так работают все онлайн сервисы по факту. Мы сейчас работаем только с мобильными подписками, так как есть хороший опыт. В команде 15 человек, прошли в крупный американский акселератор, подняли seed раунд, работаем удаленно.
До Адапти сделали 2 успешных проекта и запустили курс в ШАДе. Мы хорошо шарим в построении крупных проектов, круто шарим в облаках и распределенных вычислениях (научим, если захотите). Самое важное из работы с нами — мы умеем доводить результат до конца.",1,0,0,0
87,"Всем привет!

Ищу во Flo (<https://flo.health/>) себе в Data Platform команду Scala Data Engineer. Flo - это быстрорастущая платформа для здоровья женщин, работающая на AI, которая включает в себя персонализированные ежедневные анализы здоровья и закрытое безопасное сообщество экспертов и сверстников с 36 миллионами активных пользователей в месяц (145 миллионов загрузок). Мы занимаем высокие позиции в категории «Здоровье и фитнес» как в App Store, так и в Google Play по всему миру. География продукта— это весь мир, локализация проведена для 26 языков, и для этой цели у нас существует своя команда.
Мы выросли в большую многофункциональную платформу, которая объединяет под собой массу приложений: это и онлайн консультации докторов, анонимные чаты по проблемным темам здоровья, чат-боты, онлайн-курсы, исследовательские программы основанные на Big Data, положительные и отрицательные предсказания циклов и возможных заболеваний, новостные ленты, ориентированные под нужды пользователей с учётом их потребностей.

За пять лет мы выросли до 250 человек и продолжаем наращивать экспертизу и приглашаем опытных инженеров присоединиться к нам.

В данный момент у нас открыта вакансия Senior Data Engineer в Delivery Stream. Главная цель этого департамента состоит в предоставлении, улучшении и поддержке платформы данных для всей компании. Среди наших текущих активностей:
- Разработка собственного сервиса по проведению экспериментов
- Улучшение текущей архитектуры
- Миграция с AWS Kinesis и Kafka
- Написание различных ETL на Spark

Мы ищем настоящего командного игрока, готового к самостоятельной работе и продвижению проектов от стадии идей до конечной реализации. Наша цель - API first и Data Mesh, чтобы работа с данными была максимально прозрачная, контролируемая и стабильная. Требованиями с нашей стороны являются 6+ лет опыта разработки как data engineer и 4+ опыта работы со Scala или Java. Хорошие знания AWS, Docker, k8s тоже явно пригодятся в работе. Мы делаем крутой продукт и не боимся реализовывать смелые идеи. Если вы хотите стать часть нашей команды - пишите, буду рад познакомиться и пообщаться :slightly_smiling_face:

Локация: Минск, Вильнюс (На время пандемии работа удаленная, но с потенциальным переездом в эти города позже)
Зарплатная вилка: 3.5-5k$ (Все обсуждаемо в зависимости от опыта)",0,0,1,0
88,"*Компания*: Сбербанк
*Локация*: Москва, м. Кутузовская (ул. Поклонная)

В рамках data science проекта по управлению лояльностью розничных клиентов ищем в команду data-аналитика.

*Вилка*: от 130 до 200 на руки (+ годовая премия 2-3 оклада)

*Портрет кандидата*:
· Уверенные знания математической статистики;
· Опыт работы в розничной аналитике от 2 лет;
· Опыт анализа рекламных и маркетинговых кампаний;
· Опыт клиентской и продуктовой аналитики (сегментация, кластеризация, когортный анализ и т.д.);
· Навыки формулирования и проверки статистических гипотез, опыт проведения АB-тестирования;
· Уверенное владение SQL (написание и оптимизация запросов);
· Продвинутый пользователь MS Excel, Power Point;
· Навыки программирования на Python как плюс (pandas, numpy, scikit-learn, statsmodel и т.д.);
· Организованность и самостоятельность в решении задач;
· Умение работать в команде и на общий результат;
· Опыт работы в банковской клиентской аналитике как плюс.

*Основные задачи*:
· Участие в построении метрики клиентской удовлетворённости продуктами и каналами компании без использования опросных методов (на основе данных о клиенте);
· Анализ запущенных пилотов и маркетинговых инициатив в части управления клиентской лояльностью;
· Участие в проведении АB-тестирования, формулирование и проверка гипотез, связанных с клиентской лояльностью;
· Анализ инструментов влияния на клиентскую удовлетворённость;
· И ещё много других интересных и амбициозных задач.

*Условия работы*:
• Работа в крупнейшем банке России;
• Трудоустройство согласно ТК РФ;
• Регулярное корпоративное обучение;
• ДМС, страхование от несчастных случаев и тяжелых заболеваний;
• Материальная помощь и социальная поддержка, корпоративная пенсионная программа;
• Льготные условия кредитования.
У нас молодая, дружная и амбициозная команда.

По всем вопросам пишите на почту <mailto:Sysoeva.E.A@sberbank.ru|Sysoeva.E.A@sberbank.ru> или в телеграмм @sysoeva_ekaterina",1,0,0,0
89,"*Вакансия:* Junior quant researcher
*Компания:* TradingCompany
*Город:* Москва (удаленка по желанию)
*Вилка:* 60k - 100k ₽, испытательный срок - 3 месяца.

*Описание:*
Открываем вакансию на начальную позицию в компанию, занимающуюся алгоритмической торговлей на классических и криптовалютных рынках.

Человек нужен ко мне в команду, основной фронт - помощь с проведением экспериментов, связанных с анализом данных на питоне (EDA, ML). К кандидату нет высоких требований по опыту, всему научим, главное, чтобы было понятно, что нам интересно работать в одном направлении. Это отличная возможность погрузиться в рынок, компания быстро растет, есть инфраструктура, результаты и отличные специалисты. Несмотря на junior-позицию, ожидаем в будущем получить долгосрочного участника команды.

Сама работа может напомнить участие в соревнованиях по табличным данным с некоторыми отличиями: нет дедлайна, много сабмитов, неприлично много данных, меняются правила. Придется проверять идеи на потоке, регулярно пробуя новые методы и аккуратно подходя к собственному коду. Как итог: хотим проводить ресерч лучше, качественнее, быстрее, и есть области, в которых может вырасти новый специалист.

*Стек:* bash, git, python3, далее библиотеки в зависимости от задачи

*НЕ требуeтся*:
* Опыт работы
* Знание C++
* Знание финансовых рынков
* Опыт олимпиадного программирования
* PhD по математике
* Наличие готовых торговых идей

*Требуeтся*:
* Интерес учиться
* Наличие кулстори из собственного опыта ML-соревнований
* Возможность показать пример своего кода (пет-проект / код из соревнования)

Для связи можно писать в личные сообщения.",0,1,0,0
90,"Всем привет! Мы - *PeakData AG* ищем Middle Data Engineer.

*Position:* Data Engineer
 *Company:* Peakdata (<http://peakdata.ch/>)
 *Location:* remote.
 *Salary range in USD*: 2,500 - 3,500 USD/month (gross - incl Upwork fees)
*Salary range in RUB:* 180 000 – 250 000 Rub/month
 *Contact:* <mailto:mfeldman@peakdata.ch|mfeldman@peakdata.ch>

We are young and ambitious startup in the field of AI and Data Science looking for Data Engineer to  join our team. We are active in the area of web mining and Language Processing. Are you up for the challenge? 

*Responsibilities:* 
  • Be able to process and integrate disparate data from different data sources
  • Be able to think with creativity, propose and lead development of data crunching software modules (mostly text analysis. NLP big plus)
  • Be able to work with version control system (Git)
  • Be able to understand software architecture and the existing workflow
  • Be able to clearly communicate in English
  • Be able to work independently in the remote work setting
  • Be able to overlap with our business hours for a great collaboration. 

*Requirements:*
  • At least 1 year of professional experience in data engineering/machine learning
  • Experienced in the relevant Python and its libraries; Especially appreciated is the knowledge of the following libraries: pandas, request, beatifulsoup, lxml, scrappy, selenium, joblib
  • Experience with backend development in Python - BIG PLUS
  • Bachelor degree in computer science –PLUS
  • Good knowledge of Docker - PLUS
  • Good documentation skills
  • Good written and spoken English
  • Strong sense of ownership and responsibility for code quality that follows best practices
  • Strong coding, problem-solving, and debugging skills
  • Awesome communication, collaboration, and self-management skills. 

*What we offer:*
  • Very interesting and innovative data product which includes real-world web data at scale (Tera to Petabytes)
  • Competitive salary
  • Highly professional and innovative team (most of our team members have either Masters or PhD)
  • Flexible work environment with opportunity to work remotely at  pajamas from your kitchen and still be part of interesting and innovative project :) If you feel like you might be a good fit please drop us a message at <mailto:mfeldman@peakdata.ch|mfeldman@peakdata.ch>

Оплата указана та, которую готовы платить gross в Upwork.",0,0,1,0
91,"*Data Scientist (Junior, Middle) /PitchMe* 

*Company:* HR tech project in London (<http://pitchme.co|pitchme.co>), с офисом разработки в Питере. Можно писать как по-русски так и по-английски.
*Contract:* part-time/remote (20h per week), opportunity for a full-time position in a couple of months
*Salary range:* £1.200 - £1.800 (part-time)/ £2500 - £3000 (full-time)

Our mission is to empower candidates to demonstrate their real abilities and knowledge allowing anyone with relevant skillset to apply for a position regardless of their professional background. For that purpose, we introduce a PitchMe process - a novel approach for management of Human Resources relying on multilayer profiling of skills and matchmaking between those who offer skills and those who need them.
*What you will be doing:* 
Fundamental to this role is knowledge of computer programming, in particular working in Phyton and Google Cloud.
• Work with data to clean and store it in a compliant way, including designing new data stores 
• Analyse data to provide quality data sets for sales and marketing purposes 
• Run skills matching algorithm and apply ML principles 
• Develop new models, algorithms, and data sets to answer business requests 
• Discover new patterns in available data 
• Apply data scraping and data search algorithms 
*About you:* 
• You hold a Bachelors or Masters degree in Computer Science, Engineering, Statistics, Mathematics, or Natural Sciences 
• A naturally curious disposition 
• A knack for explaining complex concepts in simple terms 
• A proven ability to design research methodologies to answer questions with data 
• Experience using Python to perform research methodologies on data 
• Experience interpreting structured and unstructured experimental results data 
• Project experience in machine learning, computational linguistics, data modelling, data collection, or knowledge engineering 
*Team you will work in:* 
We’re offering the opportunity to build on your existing skills and knowledge. You’ll be working side by side with the founders and business developers in a very flat structure and gain hands-on experience.

Send your CV to: <mailto:dina@pitchme.co|dina@pitchme.co>
Спасибо :slightly_smiling_face:",0,1,0,0
92,"Позиция: Data Engineer
Город: Москва
Вилка: от 120 до 140к

Ищем дата инженера в команду СБЕРКликстрим – новый сервис на данных от Сбербанка, предоставляющий детальную веб-аналитику и позволяющий персонализировать сайт предпринимателя. Продукт коммерческий, запуск на рынок первой версии – сентябрь 2020.

Задачи:
Основное – поиск и сбор данных, построение, разработка витрин с данными по пользователям для формирования аналитики в продукте

– Обеспечение сбора и организация процесса загрузки данных в аналитические системы, включая получение структурированных и не структурированных данных из различных источников, подготовку, очистку и предобработку данных из внешних источников, построение агрегатов;
– Определение состава передаваемых данных;
– Написание функций и хранимых процедур для преобразования и агрегации данных;
– Настройка и разработка ETL для получения данных;
– Разработка новых витрин/объектов исходя из требований аналитиков данных;
– Ревью кода на предмет соответствия стандартам Банка;
– Поддержка процесса внедрения

Требования:
– неплохие знания SQL: индексы и их применение, написание хранимых процедур;
– python и стандартные структуры данных python (numpy, pandas);
– Понимание процессов ETL, ELT;
– Опыт работы с git, bash\linux;

Будет плюсом:
– Опыт работы с Teradata
– Знание Spark, PySpark, особенности написания кода для стека Hadoop, Spark, использование UDF, знание Kafka
– Знание CDC
– Знание особенностей программирования в распределённых системах
– Опыт работы с лямбда-архитектурой
– Опыт работы с noSql базам

Стандартные сберовские плюшки: офис на Кутузовском, спортзал

Резюме/вопросы присылать на почту коллеге <mailto:MYMamaev@sberbank.ru|MYMamaev@sberbank.ru> с пометкой ODS или в личку",0,0,1,0
93,"Всем привет!

Компания: <http://Giant.ai|Giant.ai>, (USA, CA) 
Вакансия: Senior Machine Learning Engineer 
Офис: Санкт-Петербург, *7 мин от ст м. Адмиралтейская, наб. реки Мойки 36, БЦ Сенатор*
График: remote (пока карантиним, потом в офисе) 
Вилка: 3000 $ - 6000 $ (в зависимости от опыта) + опционы! :fire:

Ищем в команду Senior ML Engineers. 

О компании:
Сфера: Робототехника. :robot_face: Если коротко, то: создаем робота и пишем софт к нему (подробнее после подписания NDA). 
Стартап основан в 2017 году by Adrian Kaehler
Наши инвесторы: Gates Frontier (Bill Gates investment fund) и Khosla Ventures.

В настоящее время команде требуются  инженеры-исследователи с фокусом в Deep Learning, Computer Vision, Reinforcement Learning.
Стек: PyTorch, TensorFlow.

Команда: в Спб сейчас нас уже 17 человек и мы активно растём. Участники команды --  ведущие ML инженеры, ежедневно решающие задачи в области CV и RL. Мы регулярно обмениваемся опытом и идеями на внутренних митапах, всегда есть чему поучиться друг у друга. Команда - наше главное сокровище, крутые специалисты и просто хорошие люди*

Какие скиллы и навыки нам требуются:
•  Профильное образование. Хорошая алгоритмическая подготовка;
•  2+ лет опыта разработки в области deep learning;
•  2+ лет опыта работы с Computer Vision;
•  Уверенные навыки написания кода на Python;
•  Рабочий английский (читать, писать, общаться).
Будет плюсом:
•  Опыт работы с reinforcement learning;
•  Публикации, патенты;
•  PhD.
•  Для инженера-разработчика (есть пара таких вакансий тоже): 
•  Профильное образование. Уверенная алгоритмическая подготовка;
•  Опыт разработки в области deep learning;
•  Опыт работы с Computer Vision;
•  Уверенные навыки написания кода на Python  
•  Рабочий английский (читать, писать, общаться).
Мы предлагаем:
•  Участие в создании реального продукта, который имеет все шансы изменить мир (не шучу);  
•  Команду из сильных специалистов, программистов, ученых; 
•  Внутренние митапы - обсуждаем лучшие решения;
•  Официальная зарплата с привязкой к курсу (да, так можно);
•  Внешние митапы, конференции, книги, все, что нужно для развития;
•  Компенсация затрат на спорт;
•  Опционы;
•  Удобный график работы, на время карантина работаем из дома;
•  Бонус на релокацию, если вы живете в другом городе.
Резюме отправляйте на адрес <mailto:polina.ivankina@giant.ai|polina.ivankina@giant.ai> или в телеграм @Ivankina :e-mail:",0,1,0,0
94,"TL;DR
Компания: *Звук* :musical_note:
Позиция: *MLE*
:fork:: *200-350К* на руки


На предыдущие вакансии из ODS откликнулось много интересных людей, выкладываю последнюю: ML Engineer.
Отдел Data Science в Звуке уже отвечает за 2 больших раздела в приложении: Рекомендации с персональными радиостанциями и Поиск, так же наши сервисы ранжируют выдачу в некоторых других блоках приложения. 

*Какие ml-ые задачи перед нами стоят:*
• Активно развивать радио и блоки на его основе;
• Использование контекста (параметров окружающей среды), в котором пользователь слушает музыку;
• Использование дополнительный информации помимо пользовательских взаимодействий;
• Персонализация приложения;
• Автоматизация очистки и классификация мета-информации.
*Какие инженерные задачи перед нами стоят:*
• Реализация и имплементирование ml-решений.
• Обеспечение надежности сервисов и развитие их инфраструктуры.
• Создание и развитие сервисов для хранения и предобработки данных.
*Наш будущий коллега выглядит так (в нашем идеальном мире):*
• Имеет не менее 3 года опыта работы на позиции Software Engineer/Data Scientist и использует python не менее 2 лет;
• Умеет с нуля продумывать архитектуру программных решений и быстро создавать прототип.
• Обладает глубокими знаниями методов / метрик машинного обучения, понимание их сфер применимости, умение объяснить их коллегам.
• Есть опыт написания и запуска ML кода в продакшн и тестирования на пользователях.
*Наш текущий стек технологий:*
• Hadoop, Luigi, Docker, Nomad, Consul;;* Flask, FastAPI, ANNOY, implicit, numpy, pandas; 
• PostgreSQL, Redis, Clickhouse;
• Python.
*Почему именно к нам:*
• У нас B2C продукт, делаем его на основе А/Б тестов а не на основе пожеланий заказчика
• Небольшая команда, ваш вклад будет заметен
• Умеем делать быстро и без бюрократии, вы получите ноут и все доступы в первый рабочий день :)
• Поиск это одно из применений ML которое работает на счастье пользователя
*Условия:*
• ЗП:  200-350 т.р., но любой запрос обсуждаем
• Локация: лофт-офис на Комсомольской(но сейчас удаленно)
• Пятничные завтраки и другие приятные плюшки
• Играем в пинг-понг и есть турник, приставка
• Кормим кашей, орехами, фруктами и печеньками (чай и кофе тоже есть)",0,1,0,0
95,"Высылайте резюме на <mailto:hr@sbdagroup.com|hr@sbdagroup.com>. Здесь могу долго не видеть сообщение — пишите мне в телегу @afonarev, если есть вопросы.

*Lead/senior/middle data scientist в Rubbles (SBDA Group)*
Наша компания разрабатывает аналитические решения для различных индустрий: системы предсказания спроса на товары для оффлайн-ритейлов, рекомендательные системы в банках, поисковые системы по товарам для онлайн-ритейлеров и многое другое. Мы активно развиваемся как в России (среди клиентов Сбербанк, Пятёрочка, KFC, Перекрёсток, Альфа Банк и др.), так и за рубежом. У нас молодой, дружный и опытный коллектив (более 70 человек), многие сотрудники - выпускники МГУ, МФТИ, ВШЭ, Сколтеха, ШАД Яндекса, бывшие сотрудники Яндекса, Гугла, Самсунга, Тинькова, Рамблера (однако всё это, разумеется, не является ограничителем для кандидатов — мы смотрим на навыки, а не на регалии).

Мы ищем data scientists разного уровня (от уверенного middle до senior и lead) для усиления нашего направления разработки систем прогнозирования спроса на товары в ритейле, fmcg и qsr. Сейчас в нём уже задействовано больше 30 технических специалистов (data scientists, data engineers, разработчиков), и оно продолжает быстро расти. Также возможно участие в других проектах и направлениях деятельности компании помимо прогнозирования спроса.

*Обязанности*
• Моделирование и обработка данных на Python для извлечения бизнес-ценности из данных
• Глубокое обсуждение задач и методов их решения совместно с коллегами и бизнес-заказчиками
• Построение воспроизводимых и переиспользуемых решений для работы с данными и моделями
• Если будет хватать опыта — курирование или руководство командой
*На что смотрим*
• Опыт использования ml библиотек на Python (бустинг, нейронные сети и др.) и понимание особенностей реализации различных аспектов алгоритмов в коде
• Опыт работы на позиции, связанной с промышленной разработкой
• Понимание методов машинного обучения с точки зрения математики и умение адаптировать их под конкретные задачи
• Опыт работы с Spark, Pyspark, Pandas, SQL, Hive и др.
• Опыт проработки задачи от бизнес-постановки до математической формулировки и реализации в коде
• Опыт автоматизации пайплайнов работы с данными (Airflow и др.) и навыки devops (Docker, Kubernetes и др.)
• Soft-skills и широта ответственности в прошлом (например, тимлидство, управление людьми, проектами и т. п.)
*С нас*
• Заработная плата в вилке от 180.000–500.000 рублей gross (включает в себя middle, senior и lead позиции)
• Много интересных задач по анализу реальных данных больших объёмов из разных индустрий
• Крутая и энергичная команда
• Корпоративные групповые занятия английским с носителем языка
• Компенсации за внерабочие активности с коллегами
• Классный офис в центре Москвы (30 секунд пешком от м. Сухаревская), гибкое посещение офиса
• Работа в быстрорастущей компании
• Гибкий график работы
• Трудоустройство по ТК РФ и на проектной основе
",0,1,0,0
